Año;Mes;País;Precio_Cu_USD_lb_x10000;Variación IPC;USD_CLP;Oil_Brent_USD;Oil_Brent_Euro;Variación IPC 12m
2019;Diciembre;EEUU;256,974;-0,1;;;;2,3
2020;Enero;EEUU;257,971;0,4;;;;2,5
2020;Febrero;EEUU;258,678;0,3;;;;2,3
2020;Marzo;EEUU;258,115;-0,2;;;;1,5
2020;Abril;EEUU;256,389;-0,7;;;;0,3
2020;Mayo;EEUU;256,394;0;;;;0,1
2020;Junio;EEUU;257,797;0,5;;;;0,6
2020;Julio;EEUU;259,101;0,5;;;;1
2020;Agosto;EEUU;259,918;0,3;;;;1,3
2020;Septiembre;EEUU;260,28;0,1;;;;1,4
2020;Octubre;EEUU;260,388;0;;;;1,2
2020;Noviembre;EEUU;260,229;-0,1;;;;1,2
2020;Diciembre;EEUU;260,474;0,1;;;;1,4
2021;Enero;EEUU;261,582;0,4;;;;1,4
2021;Febrero;EEUU;263,014;0,5;;;;1,7
2021;Marzo;EEUU;264,877;0,7;;;;2,6
2021;Abril;EEUU;267,054;0,8;;;;4,2
2021;Mayo;EEUU;269,195;0,8;;;;5
2021;Junio;EEUU;271,696;0,9;;;;5,4
2021;Julio;EEUU;273,003;0,5;;;;5,4
2021;Agosto;EEUU;0;0,3;;;;5,3
